,price_date,beta,book_to_price_ratio,earning_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size
77,2016-04-29,0.0016198021,-0.0013968394,0.0009243269,0.000241991,-0.0006142726,-0.0002818869,0.0007753595,-0.0008313609,-0.0012479258,-0.0019929027
78,2016-05-03,-0.0023853693,-0.0013568703,0.0019027078,1.87036e-05,-0.0005636882,0.0002952595,-0.0002864586,0.0012699909,0.0017733938,-0.0016344799
79,2016-05-04,-0.0011669291,0.0006368363,0.0007994518,-0.0005351325,0.0004004662,-0.0005306542,-0.0002493942,-0.000578154,0.0009561324,-0.0015276699
80,2016-05-05,-0.0022377807,-0.0007106051,4.53349e-05,-0.0004699248,-0.0011421807,0.0003179168,0.0003052355,0.0003047712,0.0003734863,-0.0010001452
81,2016-05-06,0.0040124107,-0.000371305,0.0013228427,0.0001866551,-0.0014816012,-0.0010722188,0.0006028545,-8.2913e-05,-0.0010232515,0.0029505262
82,2016-05-09,0.0061477476,-0.0012988533,0.0026713925,0.0004057466,-0.000615747,1.61208e-05,0.0001734317,0.0003707175,-0.0016624338,0.0052366925
83,2016-05-10,0.0029036431,0.0005160941,0.0006690327,-0.000483958,-5.86356e-05,-0.0005090358,-0.0002441649,-0.0001804164,0.0011288511,0.0002271198
84,2016-05-11,0.0063243551,0.0009348703,0.0024650135,-0.0003271269,0.0004559699,6.58453e-05,-0.0002291868,-0.0002310399,0.0003255524,0.0017271097
85,2016-05-12,0.0011675473,-0.0013271474,0.0026333927,0.0013600241,0.0004102603,0.0004441916,0.0003139708,0.0018822464,-5.557e-07,0.0042202892
86,2016-05-13,0.0003504854,-0.0009293203,0.0007175368,-0.0005302789,-0.0006007334,-0.0001595997,0.0005507335,0.0001353547,0.0004199139,-0.000798292
87,2016-05-16,-0.0030627998,-0.0018894204,0.0002026196,0.0003670835,-0.0004238216,0.0001747842,7.1114e-05,-0.0009438114,-0.0007768585,-0.0033634953
88,2016-05-17,-0.0003717463,-0.0008985137,-0.0006609707,8.85789e-05,-0.0008729608,-0.0002628111,-0.0004272166,-0.0004743182,0.001424512,-0.0010565103
89,2016-05-18,0.004752682,0.0001775117,0.0013351632,-0.0004194972,-3.43742e-05,-0.0001671258,-0.0007790549,-0.0009747528,-0.0001058646,0.0048552467
90,2016-05-19,-0.0026505112,-0.0005388675,-0.0010814616,0.0001321435,-0.0014398312,0.0005974352,-0.0004872397,0.0005730118,-0.0001287392,-0.0005556176
91,2016-05-20,-0.0018849917,0.0006726044,0.0006496866,-0.0010095997,-0.0013715308,1.46366e-05,-0.0005824372,0.0009852127,-0.0002440454,-0.0029413287
92,2016-05-23,-0.0038199863,-0.0014453414,0.0016530069,0.0009114673,-0.0009408899,-0.0001553601,0.0007664172,0.0001676361,-0.0002786155,-0.0028876509
93,2016-05-24,0.0014168471,0.0002010825,0.0002070155,0.0002644194,-0.0002501354,-0.0007891228,-0.0003203149,-0.0023959899,0.0001428702,-0.0020625807
94,2016-05-25,0.0011446399,0.0004541486,-0.0004727015,-0.0014007541,-7.84141e-05,-2.2963e-06,0.0003268996,0.0004024824,-0.0005903295,-0.0026375266
95,2016-05-26,-0.0008200237,-0.0009189453,-0.0006207221,-0.000441997,-0.0014032318,0.0002806396,-0.0002022623,0.0003792714,-0.0008649722,-0.0011314268
96,2016-05-27,0.000702678,0.0002132759,-6.94887e-05,-0.0008175002,0.0003510286,-3.33862e-05,-0.0003584026,-0.0004197597,-0.0009850606,-0.0025245237
97,2016-05-30,0.0039435239,-0.0014600938,0.0002123357,0.0002114166,-7.7209e-05,-0.0003459453,0.0001711828,-0.0013199992,-1.24682e-05,-0.001910603
98,2016-05-31,-0.0039020951,-0.0018397368,0.000261596,-0.0005649606,-0.0001081505,0.0001939677,-0.0011396295,0.0007668778,0.0016220722,-0.0010757738
99,2016-06-01,-0.0033578338,-0.0010952571,-0.0001828582,0.0008302613,0.0001725253,-6.11719e-05,0.0005407439,4.84614e-05,0.0005766329,-0.0009917085
100,2016-06-02,-0.0028173345,-0.001590464,-0.0004390736,-0.0013117927,0.000454881,-0.0003456794,-0.0002985603,0.0006478689,0.0005202065,-0.0024353787
101,2016-06-03,0.0033560922,-0.0019109032,0.0019390991,-0.0003299012,-0.0011458943,-0.0007708948,0.0007163815,-0.0010401455,0.001063555,-0.0015840622
102,2016-06-06,-0.0016984613,-0.0003924696,0.0011472705,0.0009200808,-0.0002114938,3.46244e-05,0.0002044299,-0.0011808675,-0.0006169704,-0.0014096834
103,2016-06-07,0.0003518133,-0.0025242557,0.0007194995,-0.0021065767,-0.0007832509,-0.0003658146,0.0012913717,0.0015451017,-0.0008051546,-0.0024526982
104,2016-06-08,0.0012638057,-0.0007598272,-0.0001536054,0.0008409377,0.0001099574,-0.0002926621,-0.0010355138,-0.0014273069,0.0008078607,-0.0007404438
105,2016-06-13,0.0086659011,0.0016097783,0.0013982231,0.0005645198,0.0014349114,-0.0011892472,0.0011823427,-0.0008656692,-0.0020016882,0.001466695
106,2016-06-14,0.0006477091,-0.0009052037,0.0007968935,-0.0007700761,0.0008692887,0.0003757147,9.94997e-05,0.0001501007,-0.0002288065,-0.001766309
107,2016-06-15,-0.004773454,-0.0024148992,0.0005241297,0.0002924091,-0.0004120989,0.0005584291,-0.0002249748,0.0015030823,8.8951e-05,-0.0027116683
108,2016-06-16,-0.0004567264,-0.0010025597,7.21233e-05,0.0001710507,0.0004200742,-0.0001376015,0.0001150954,0.0005207322,0.000701843,-0.0027031637
109,2016-06-17,0.0010501081,-0.0004763285,0.0003053967,-0.0010687873,-0.0007709601,-0.0007254248,-0.0001412885,0.0001654877,-0.0011641959,-0.0032307602
110,2016-06-20,-0.0003141298,-0.0003364445,0.0028978364,-0.0011298314,-0.0017830983,0.0002559856,0.0009985376,0.0023401444,-0.0004259691,-0.0004494896
111,2016-06-21,0.0036433104,-0.0001634134,0.0007241047,-0.0003028265,-8.29872e-05,-0.0008803102,-0.0001319032,0.0006344224,-0.0009173243,-0.000275404
112,2016-06-22,-0.0026684926,-0.0004031178,-0.0005714173,2.35727e-05,-0.0002649357,0.000549091,-0.0022132651,-9.25393e-05,-0.0010629327,-0.0024260375
113,2016-06-23,0.001024512,-0.0018377981,0.0010398335,-0.0001854226,-0.0002103572,-0.0010687607,-0.000933776,-0.0002089372,0.0001810965,-0.0019517347
114,2016-06-24,6.25239e-05,-0.0014847223,0.0003435994,0.0005301161,-6.67259e-05,-0.0007762149,0.000982842,0.0002294434,-0.0004212423,-0.0004456255
115,2016-06-27,-0.0014857546,-0.0025108446,-0.0004544703,-0.0002343295,-0.00130335,-0.0003018531,-0.0005650019,0.0009433896,-0.000804178,-0.0019176338
116,2016-06-28,-0.0007639763,-0.0016967733,-0.0001416053,-0.0013866868,0.0007387884,-0.0005274984,-6.27902e-05,-0.0002168518,0.0007475666,-0.0025750157
117,2016-06-29,0.0004894087,-0.0010863509,-0.0006324609,-0.0007879263,0.0002105293,-0.0010786211,0.0009779815,0.0003033952,-0.0014970526,-0.0003916919
118,2016-06-30,0.0049093791,-0.0001130953,0.0015138852,0.0028574598,-0.0006466564,-0.0005774347,-0.0008583852,-0.0017479002,0.0020295642,-0.0031148423
119,2016-07-01,8.6521e-06,-7.52242e-05,0.0011373953,-0.0015471215,-0.00022364,-0.0006263632,0.0009244018,-0.0001866643,-0.0017070541,-0.0014283021
120,2016-07-04,-8.42779e-05,0.0002918171,0.0011766595,-0.0003524089,9.9998e-06,0.0002230919,-0.0013038792,0.0004479641,-0.0008606481,-0.0012387476
121,2016-07-05,0.0009545156,-0.0004033048,-0.0014749622,0.0001393948,0.0012214147,-0.000337218,-0.0010039167,-0.0001632504,0.000374878,-0.0007914386
122,2016-07-06,-0.0001235605,-0.0012083831,0.002381741,-0.0006035487,0.0006656524,9.52657e-05,0.0007583245,-0.0011936308,0.0001631854,-0.0027157642
123,2016-07-07,0.0017327508,-0.0006130921,-0.0001674945,0.000517474,0.0002618274,0.0001606183,0.0005137192,8.40551e-05,-0.0002341772,-0.0011456531
124,2016-07-08,-4.05332e-05,0.0001187164,0.0006561525,-0.0004009427,-0.0014103167,-0.0005078984,-0.0003872046,-0.0009162393,-0.0004064155,-0.0027471185
125,2016-07-11,0.0024267258,0.0029363057,0.0002278096,0.0012413957,0.0008172137,0.0004985999,-0.0015551643,-0.0021779733,4.30262e-05,0.0008779888
126,2016-07-12,0.0027450329,0.0003848992,0.0005384318,-0.0012519455,-0.0001577142,-0.0002463321,-0.0013943574,-0.0010662909,-0.0008568053,0.0011252149
127,2016-07-13,-0.0005094533,0.0006539141,0.0005581766,0.0004670659,0.0009323438,-0.001021719,-0.0002001382,-0.0007318155,0.0007785326,-0.0010667938
128,2016-07-14,-0.0001257327,-0.0004385615,-0.0004056687,-0.0001549017,-0.0011590491,-0.0008205445,6.5394e-05,0.0001382684,-0.0001849128,-0.0015491806
129,2016-07-15,0.003458279,-0.0019211417,0.00173561,0.0005313439,0.000157576,-0.0001935087,0.0014589762,-0.001103228,-0.0008115096,-0.0001294417
130,2016-07-18,0.0019322737,-0.0010237213,0.0010186759,0.000803636,0.0014039961,-0.0001864389,-0.0005709345,-0.0009437765,0.0015154646,-0.0009554511
131,2016-07-19,-0.0016973858,-0.0009244011,-0.001901319,-0.0003128636,-0.0006769945,-0.0003739541,-0.0013460466,0.0011846461,-1.38091e-05,-0.0018223338
132,2016-07-20,0.0009515868,-0.0008664746,0.0008161713,-4.89802e-05,-0.0004306876,-0.0007589498,0.0005300165,-0.0017105117,0.0005801984,-0.003440403
133,2016-07-21,0.0022811736,-0.0004162115,0.0013544539,0.0001502008,0.0004559811,-0.0004619545,-0.0007078961,-0.0019184552,0.0001408704,-0.0014316139
134,2016-07-22,0.0008862655,3.91613e-05,0.0001812272,0.0004658112,-3.37543e-05,-1.88686e-05,-0.0014641055,-0.0008305234,0.0004714928,-0.0010528504
135,2016-07-25,0.0025759993,0.0019672857,-2.40537e-05,0.0005747212,-0.0013442004,-0.0005820847,-0.0004938186,-0.0002170368,2.87991e-05,-0.002142059
136,2016-07-26,0.0003121622,-0.0004803497,0.0016357421,-0.0001209281,0.0009667786,-7.45236e-05,0.0004952953,-0.0009068728,-0.0008822999,-0.0021540286
137,2016-07-27,0.0078677773,0.0018042104,0.0028949173,-0.0005389532,0.0008749837,-0.0015439667,-0.0001468374,-0.002997511,0.000762391,0.0039532638
138,2016-07-28,0.0032039249,0.0001516264,0.0030322051,0.0004791965,-0.0003068549,5.64503e-05,-0.0002413283,-0.0007863543,-0.0024688926,-0.0004620866
139,2016-07-29,0.0016448125,-0.0005979635,0.0015293157,-2.12749e-05,-0.0003579507,-0.0006217446,0.0005413011,-0.0002353634,-0.0002338818,-0.0009307466
140,2016-08-01,0.0007526826,0.0019384855,0.0015635338,0.0012601718,-5.15071e-05,0.0002835732,7.36588e-05,-0.0011504179,0.0024757004,0.0005380075
141,2016-08-02,-0.0009658796,-0.0002878226,-0.0001025999,-0.0009606187,0.000554272,6.49528e-05,-0.0009595152,0.0002494934,2.721e-05,-0.0019125777
142,2016-08-03,-0.0015025276,-0.0013547156,3.76443e-05,-0.0015164219,0.0013945504,-0.0003958483,-0.0006801196,-0.0003087312,-0.002043232,-0.0022315337
143,2016-08-04,-0.0013817782,0.0001046862,-2.43983e-05,0.0009905231,-0.0003800681,-0.0002217783,0.0002404788,-0.0004796091,0.0012479784,-0.001279177
144,2016-08-05,0.0016298951,0.0005815418,-0.0001765968,6.5234e-06,-5.66222e-05,-0.0006650337,-0.0005764822,-0.0008511042,-0.0003843633,-0.000650568
145,2016-08-08,0.0023104262,0.0011388053,-0.0002840031,-7.3398e-06,0.0005262454,0.0002660305,0.0003373723,0.0006181857,-0.0012777686,-0.0019681238
146,2016-08-09,-0.0016088252,-0.0008892566,5.1057e-05,-0.0002656418,-0.0006664081,-0.0004788629,0.0002710924,0.000249857,0.000176317,-0.0007546203
147,2016-08-10,-0.0001693624,8.5109e-06,-0.0012690871,-0.0007409417,0.000731965,-0.0007081944,0.0009355383,4.18608e-05,-6.80513e-05,-0.0006596021
